z,rho_adaptive,rho_uniform,delta_rho,eloc_adaptive,eloc_uniform,delta_eloc
-1.6624999046325684,0.0077883158810436726,0.007858140394091606,-6.982451304793358e-05,-0.0072958339005708694,-0.007345343008637428,4.950910806655884e-05
-1.654999852180481,0.007926161400973797,0.007978015579283237,-5.185417830944061e-05,-0.007452709134668112,-0.0074779861606657505,2.5277025997638702e-05
-1.6475000381469727,0.00806400366127491,0.008097887970507145,-3.3884309232234955e-05,-0.0076095787808299065,-0.007610625121742487,1.0463409125804901e-06
-1.6399998664855957,0.00820185150951147,0.008217765018343925,-1.591350883245468e-05,-0.007766456343233585,-0.007743270136415958,-2.3186206817626953e-05
-1.6325000524520874,0.00833969283849001,0.008337637409567833,2.055428922176361e-06,-0.007923326455056667,-0.007875909097492695,-4.741735756397247e-05
-1.625,0.008477537892758846,0.008457513526082039,2.0024366676807404e-05,-0.008080201223492622,-0.00800855178385973,-7.164943963289261e-05
-1.617499828338623,0.008615386672317982,0.008598502725362778,1.688394695520401e-05,-0.008237077854573727,-0.008172537200152874,-6.454065442085266e-05
-1.6100000143051147,0.00875322800129652,0.00878168921917677,-2.8461217880249023e-05,-0.008393947966396809,-0.008399165235459805,5.217269062995911e-06
-1.6024999618530273,0.008891073055565357,0.008964882232248783,-7.38091766834259e-05,-0.008550822734832764,-0.008625800721347332,7.497798651456833e-05
-1.5949997901916504,0.009028920903801918,0.009148077107965946,-0.00011915620416402817,-0.008707700297236443,-0.008852439001202583,0.00014473870396614075
-1.587499976158142,0.009166762232780457,0.009331263601779938,-0.0001645013689994812,-0.008864570409059525,-0.009079067036509514,0.00021449662744998932
-1.5799999237060547,0.009304608218371868,0.009514456614851952,-0.00020984839648008347,-0.00902144517749548,-0.009305702522397041,0.00028425734490156174
-1.5725001096725464,0.009456569328904152,0.009697643108665943,-0.00024107377976179123,-0.009199907071888447,-0.009532330557703972,0.00033242348581552505
-1.565000057220459,0.009658207185566425,0.009880836121737957,-0.00022262893617153168,-0.009454340673983097,-0.009758965112268925,0.00030462443828582764
-1.5575001239776611,0.009859842248260975,0.010064025409519672,-0.0002041831612586975,-0.009708769619464874,-0.009985596872866154,0.00027682725340127945
-1.5500000715255737,0.010061480104923248,0.010247217491269112,-0.00018573738634586334,-0.00996320229023695,-0.010212232358753681,0.00024903006851673126
-1.5425000190734863,0.010263118892908096,0.010430410504341125,-0.00016729161143302917,-0.010217634961009026,-0.010438866913318634,0.00022123195230960846
-1.5349998474121094,0.010464760474860668,0.010613605380058289,-0.0001488449051976204,-0.010472072288393974,-0.01066550612449646,0.00019343383610248566
-1.527500033378601,0.01066639181226492,0.010796792805194855,-0.00013040099292993546,-0.010726497508585453,-0.01089213415980339,0.00016563665121793747
-1.5199999809265137,0.010868029668927193,0.010979984886944294,-0.00011195521801710129,-0.010980930179357529,-0.011118768714368343,0.00013783853501081467
-1.5124999284744263,0.01106966845691204,0.011163177900016308,-9.350944310426712e-05,-0.011235362850129604,-0.01134540420025587,0.00011004135012626648
-1.5049999952316284,0.01127130351960659,0.011346367187798023,-7.506366819143295e-05,-0.011489791795611382,-0.0115720359608531,8.224416524171829e-05
-1.497499942779541,0.011472941376268864,0.011529559269547462,-5.6617893278598785e-05,-0.011744224466383457,-0.011798670515418053,5.444604903459549e-05
-1.4899998903274536,0.011674579232931137,0.011712752282619476,-3.8173049688339233e-05,-0.011998658068478107,-0.01202530600130558,2.6647932827472687e-05
-1.4824999570846558,0.011876214295625687,0.011895941570401192,-1.9727274775505066e-05,-0.012253087013959885,-0.01225193776190281,-1.1492520570755005e-06
-1.4749999046325684,0.012077853083610535,0.012079134583473206,-1.2814998626708984e-06,-0.01250751968473196,-0.012478572316467762,-2.8947368264198303e-05
-1.4674999713897705,0.012279488146305084,0.012262323871254921,1.716427505016327e-05,-0.012761948630213737,-0.012705204077064991,-5.674455314874649e-05
-1.4600000381469727,0.012481123208999634,0.012445513159036636,3.5610049962997437e-05,-0.013016377575695515,-0.01293183583766222,-8.454173803329468e-05
-1.4524998664855957,0.012682763859629631,0.012628708966076374,5.405489355325699e-05,-0.013270814903080463,-0.013158474117517471,-0.0001123407855629921
-1.4449999332427979,0.01288439892232418,0.01281189825385809,7.250066846609116e-05,-0.01352524384856224,-0.0133851058781147,-0.00014013797044754028
-1.4374998807907104,0.013086037710309029,0.013027917593717575,5.812011659145355e-05,-0.013779676519334316,-0.013668116182088852,-0.00011156033724546432
-1.4300000667572021,0.01328766904771328,0.013309556059539318,-2.188701182603836e-05,-0.014034101739525795,-0.014063820242881775,2.971850335597992e-05
-1.4224998950958252,0.013489310629665852,0.013591207563877106,-0.00010189693421125412,-0.014288538135588169,-0.01445954293012619,0.0001710047945380211
-1.4149999618530273,0.013690945692360401,0.013872850686311722,-0.00018190499395132065,-0.014542967081069946,-0.014855253510177135,0.0003122864291071892
-1.40749990940094,0.013973305933177471,0.014154497534036636,-0.0001811916008591652,-0.014937915839254856,-0.015250970609486103,0.00031305477023124695
-1.4000000953674316,0.014270825311541557,0.01443613599985838,-0.00016531068831682205,-0.015359258279204369,-0.01564667373895645,0.0002874154597520828
-1.3924999237060547,0.014568359591066837,0.014717787504196167,-0.00014942791312932968,-0.015780620276927948,-0.016042398288846016,0.00026177801191806793
-1.3849998712539673,0.014865889213979244,0.014999434351921082,-0.0001335451379418373,-0.01620197482407093,-0.016438113525509834,0.0002361387014389038
-1.377500057220459,0.015163409523665905,0.015281072817742825,-0.00011766329407691956,-0.016623318195343018,-0.016833819448947906,0.00021050125360488892
-1.3700000047683716,0.015460939146578312,0.015562719665467739,-0.00010178051888942719,-0.017044672742486,-0.017229534685611725,0.0001848619431257248
-1.3624999523162842,0.015758469700813293,0.01584436744451523,-8.589774370193481e-05,-0.017466029152274132,-0.017625251784920692,0.00015922263264656067
-1.3549997806549072,0.016056003049016,0.01612601801753044,-7.001496851444244e-05,-0.01788739114999771,-0.018020974472165108,0.00013358332216739655
-1.3475000858306885,0.016353517770767212,0.01640765182673931,-5.4134055972099304e-05,-0.018308725208044052,-0.018416672945022583,0.00010794773697853088
-1.340000033378601,0.01665104739367962,0.016689300537109375,-3.8253143429756165e-05,-0.018730081617832184,-0.01881239004433155,8.230842649936676e-05
-1.3324999809265137,0.016948577016592026,0.01697094738483429,-2.2370368242263794e-05,-0.019151436164975166,-0.019208107143640518,5.667097866535187e-05
-1.3249998092651367,0.01724611222743988,0.017252597957849503,-6.485730409622192e-06,-0.019572798162698746,-0.019603829830884933,3.1031668186187744e-05
-1.3174999952316284,0.01754363253712654,0.01753423735499382,9.395182132720947e-06,-0.019994141533970833,-0.019999533891677856,5.392357707023621e-06
-1.3100000619888306,0.0178411565721035,0.017815878614783287,2.5277957320213318e-05,-0.020415490493178368,-0.020395245403051376,-2.0245090126991272e-05
-1.3025000095367432,0.018138686195015907,0.01809752732515335,4.115886986255646e-05,-0.02083684504032135,-0.020790960639715195,-4.5884400606155396e-05
-1.2949998378753662,0.018436221405863762,0.018379177898168564,5.704350769519806e-05,-0.02125820703804493,-0.02118668518960476,-7.152184844017029e-05
-1.287500023841858,0.018733741715550423,0.01866081729531288,7.29244202375412e-05,-0.021679548546671867,-0.021582389250397682,-9.715929627418518e-05
-1.2799999713897705,0.01903127133846283,0.018942464143037796,8.880719542503357e-05,-0.02210090495646,-0.02197810634970665,-0.0001227986067533493
-1.272499918937683,0.019328799098730087,0.01922411099076271,0.00010468810796737671,-0.02252225950360298,-0.022373821586370468,-0.00014843791723251343
-1.2649999856948853,0.019626324996352196,0.019505754113197327,0.00012057088315486908,-0.022943608462810516,-0.022769533097743988,-0.00017407536506652832
-1.2574999332427979,0.019923854619264603,0.019838858395814896,8.499622344970703e-05,-0.023364964872598648,-0.023270174860954285,-9.47900116443634e-05
-1.2499998807907104,0.020287027582526207,0.020274832844734192,1.2194737792015076e-05,-0.023920251056551933,-0.02398057095706463,6.031990051269531e-05
-1.2424999475479126,0.020726555958390236,0.02071079984307289,1.5756115317344666e-05,-0.024631327018141747,-0.024690957739949226,5.963072180747986e-05
-1.2349998950958252,0.021166091784834862,0.021146774291992188,1.9317492842674255e-05,-0.025342414155602455,-0.02540135383605957,5.893968045711517e-05
-1.2274999618530273,0.02160562016069889,0.021582743152976036,2.2877007722854614e-05,-0.02605349011719227,-0.02611173875629902,5.824863910675049e-05
-1.21999990940094,0.022045155987143517,0.022018717601895332,2.6438385248184204e-05,-0.026764577254652977,-0.026822136715054512,5.7559460401535034e-05
-1.2125000953674316,0.02248467691242695,0.022454677149653435,2.9999762773513794e-05,-0.027475642040371895,-0.027532510459423065,5.686841905117035e-05
-1.2049999237060547,0.02292422018945217,0.022890659049153328,3.3561140298843384e-05,-0.0281867403537035,-0.028242917731404305,5.6177377700805664e-05
-1.1974999904632568,0.0233637485653162,0.023326626047492027,3.7122517824172974e-05,-0.028897816315293312,-0.028953304514288902,5.548819899559021e-05
-1.1899999380111694,0.023803284391760826,0.023762600496411324,4.0683895349502563e-05,-0.02960890345275402,-0.029663700610399246,5.4797157645225525e-05
-1.1825001239776611,0.024242805317044258,0.024198561906814575,4.424341022968292e-05,-0.03031996823847294,-0.0303740743547678,5.410611629486084e-05
-1.1749999523162842,0.02468234859406948,0.02463454194366932,4.780665040016174e-05,-0.031031066551804543,-0.031084483489394188,5.3416937589645386e-05
-1.1674998998641968,0.025121882557868958,0.025070516392588615,5.13661652803421e-05,-0.0317421555519104,-0.03179487958550453,5.272403359413147e-05
-1.1599998474121094,0.025561418384313583,0.02550649084150791,5.492754280567169e-05,-0.03245324268937111,-0.032505277544260025,5.2034854888916016e-05
-1.152500033378601,0.026000941172242165,0.025942452251911163,5.848892033100128e-05,-0.03316430747509003,-0.03321564942598343,5.13419508934021e-05
-1.1449999809265137,0.02644047513604164,0.02637842670083046,6.204843521118164e-05,-0.033875394612550735,-0.03392604738473892,5.0652772188186646e-05
-1.1374998092651367,0.026880018413066864,0.026814406737685204,6.561167538166046e-05,-0.03458649292588234,-0.03463645651936531,4.996359348297119e-05
-1.1299999952316284,0.027319539338350296,0.027250368148088455,6.917119026184082e-05,-0.03529755771160126,-0.035346828401088715,4.9270689487457275e-05
-1.1225000619888306,0.027759067714214325,0.027686335146427155,7.273256778717041e-05,-0.03600863367319107,-0.03605721518397331,4.858151078224182e-05
-1.1150000095367432,0.02819860354065895,0.02812230959534645,7.62939453125e-05,-0.03671972081065178,-0.036767613142728806,4.789233207702637e-05
-1.1074998378753662,0.028638146817684174,0.028558291494846344,7.985532283782959e-05,-0.03743081912398338,-0.037478022277355194,4.720315337181091e-05
-1.100000023841858,0.029077667742967606,0.028994251042604446,8.341670036315918e-05,-0.0381418839097023,-0.0381883941590786,4.6510249376297e-05
-1.0924999713897705,0.02953525260090828,0.029430225491523743,0.00010502710938453674,-0.0388968363404274,-0.03889879211783409,1.955777406692505e-06
-1.0850000381469727,0.030193062499165535,0.02986619435250759,0.0003268681466579437,-0.04013846069574356,-0.03960917890071869,-0.0005292817950248718
-1.0774998664855957,0.030850892886519432,0.03038351982831955,0.0004673730581998825,-0.041380126029253006,-0.040523711591959,-0.0008564144372940063
-1.0700000524520874,0.03150869160890579,0.03106348030269146,0.0004452113062143326,-0.042621731758117676,-0.0418463759124279,-0.0007753558456897736
-1.0625,0.032166510820388794,0.03174346312880516,0.0004230476915836334,-0.04386337473988533,-0.04316908121109009,-0.0006942935287952423
-1.0549999475479126,0.032824333757162094,0.03242344409227371,0.00040088966488838196,-0.04510502144694328,-0.044491786509752274,-0.0006132349371910095
-1.0474998950958252,0.033482152968645096,0.03310342878103256,0.00037872418761253357,-0.04634666442871094,-0.04581449180841446,-0.0005321726202964783
-1.0399999618530273,0.0341399610042572,0.03378339856863022,0.00035656243562698364,-0.0475882887840271,-0.04713717848062515,-0.000451110303401947
-1.03249990940094,0.0347977839410305,0.03446338325738907,0.0003344006836414337,-0.048829931765794754,-0.04845988377928734,-0.00037004798650741577
-1.024999976158142,0.03545559197664261,0.035143353044986725,0.0003122389316558838,-0.050071556121110916,-0.04978257045149803,-0.0002889856696128845
-1.0174999237060547,0.03611341118812561,0.035823334008455276,0.00029007717967033386,-0.05131320282816887,-0.05110527575016022,-0.00020792707800865173
-1.0099999904632568,0.036771222949028015,0.03650330752134323,0.00026791542768478394,-0.05255482718348503,-0.05242796242237091,-0.00012686476111412048
-1.0024999380111694,0.03742904216051102,0.03718328848481178,0.000245753675699234,-0.053796470165252686,-0.053750667721033096,-4.5802444219589233e-05
-0.9949999451637268,0.03808685764670372,0.037863265722990036,0.00022359192371368408,-0.05503810569643974,-0.05507336184382439,3.5256147384643555e-05
-0.987500011920929,0.038744665682315826,0.03854323923587799,0.0002014264464378357,-0.056279730051755905,-0.05639604851603508,0.0001163184642791748
-0.9799998998641968,0.039402492344379425,0.03922322764992714,0.00017926469445228577,-0.057521384209394455,-0.05771876499056816,0.00019738078117370605
-0.9724999070167542,0.04006030783057213,0.03990320488810539,0.00015710294246673584,-0.05876301974058151,-0.05904145911335945,0.00027843937277793884
-0.9650000929832458,0.04071810841560364,0.04058316349983215,0.00013494491577148438,-0.060004621744155884,-0.060364123433828354,0.0003595016896724701
-0.9574999809265137,0.04137593135237694,0.0412631519138813,0.00011277943849563599,-0.061246275901794434,-0.061686839908361435,0.00044056400656700134
-0.9499999284744263,0.04203375428915024,0.041943132877349854,9.062141180038452e-05,-0.062487922608852386,-0.06300954520702362,0.0005216225981712341
-0.9424999356269836,0.04269156605005264,0.04262311011552811,6.845593452453613e-05,-0.06372955441474915,-0.06433223932981491,0.0006026849150657654
-0.9350000619888306,0.04334937036037445,0.043303076177835464,4.6294182538986206e-05,-0.06497117131948471,-0.06565491855144501,0.0006837472319602966
-0.9275000095367432,0.04423511400818825,0.043983060866594315,0.0002520531415939331,-0.06690739095211029,-0.0669776201248169,7.0229172706604e-05
-0.919999897480011,0.04521710425615311,0.044663045555353165,0.000554058700799942,-0.06913691014051437,-0.06830033659934998,-0.0008365735411643982
-0.9124999046325684,0.04619907587766647,0.04534302279353142,0.0008560530841350555,-0.07136638462543488,-0.06962303817272186,-0.0017433464527130127
-0.9049999713897705,0.04718104377388954,0.04602299630641937,0.001158047467470169,-0.07359585165977478,-0.07094571739435196,-0.002650134265422821
-0.8974999785423279,0.04816301539540291,0.04683292284607887,0.0013300925493240356,-0.07582533359527588,-0.07268600910902023,-0.0031393244862556458
-0.8899998664855957,0.04914500564336777,0.0479026697576046,0.0012423358857631683,-0.07805484533309937,-0.07526123523712158,-0.002793610095977783
-0.8825000524520874,0.05012695491313934,0.04897237941622734,0.0011545754969120026,-0.08028427511453629,-0.07783634960651398,-0.0024479255080223083
-0.8749999403953552,0.0511089451611042,0.05004212632775307,0.0010668188333511353,-0.08251379430294037,-0.08041157573461533,-0.0021022185683250427
-0.8675000071525574,0.05209090933203697,0.051111850887537,0.0009790584444999695,-0.08474325388669968,-0.0829867348074913,-0.001756519079208374
-0.8599998950958252,0.05307289958000183,0.05218160152435303,0.0008912980556488037,-0.08697277307510376,-0.08556196093559265,-0.0014108121395111084
-0.8525000214576721,0.054054856300354004,0.05325131490826607,0.0008035413920879364,-0.08920221775770187,-0.08813709765672684,-0.0010651201009750366
